ano,regiao_administrativa,ips_geral,necessidades_humanas_basicas_nota_dimensao,nutricao_cuidados_medicos_basicos,agua_saneamento,moradia,seguranca_pessoal,fundamentos_bem_estar_nota_dimensao,acesso_conhecimento_basico,acesso_informacao,saude_bem_estar,qualidade_meio_ambiente,oportunidades_nota_dimensao,direitos_individuais,liberdades_individuais,tolerancia_inclusao,acesso_educacao_superior
2016,Rio De Janeiro,60.77,75.84,70.19,83.68,78.16,71.34,53.28,49.96,50.89,62.03,50.26,53.2,61.46,54.82,64.14,32.36
2016,Portuaria,45.33,59.1,87.63,80.8,67.97,0,41.67,41.34,20.73,64.74,39.89,35.23,39.35,61.94,34.18,5.43
2016,Centro,57.75,62.43,59.38,74.18,91.85,24.31,52.41,55.6,56,41.04,56.99,58.42,45.89,87.27,52.24,48.26
2016,Rio Comprido,52.43,58.97,61.22,84.36,64.78,25.52,47.19,34,42.08,47.84,64.84,51.14,66.89,50.45,64.74,22.48
2016,Botafogo,87.12,93.32,85.15,98.49,99.55,90.08,81.13,78.47,86.52,81.46,78.07,86.91,68.19,85.74,94.3,99.39
2016,Copacabana,82.93,94.58,86.04,99.32,96.54,96.42,78.09,80.93,81.95,72.39,77.1,76.13,64.65,71.18,85.16,83.53
2016,Lagoa,84.94,91.71,79.24,98.86,96.71,92.02,82.97,62.49,89.06,84.58,95.74,80.15,54.77,86.21,98.04,81.59
2016,São Cristovão,50.72,67.85,70.05,86.36,67.64,47.34,42.29,44.5,34.65,31.45,58.57,42.02,64.15,40.63,46.46,16.83
2016,Tijuca,78.13,87.86,82.48,84.62,95.15,89.18,67.13,56.82,80.32,77.75,53.63,79.39,71.18,78.81,88.76,78.82
2016,Vila Isabel,74.12,85.18,72.45,94.21,86.67,87.4,67.28,63.06,74.99,74.41,56.67,69.88,58.4,61.45,86.49,73.2
2016,Ramos,57.91,72.14,54.91,94.92,68.66,70.06,46.73,47.17,52.42,39.4,47.94,54.86,81.56,48.68,64.82,24.39
2016,Penha,60.28,81.02,71.56,97.56,81.7,73.27,50.29,47.44,43.9,58.21,51.59,49.52,66.87,35.47,72.55,23.19
2016,Inhaúma,60.84,72.9,70.68,92.05,82.9,45.95,45.11,41.76,45.07,48.96,44.65,64.52,87.08,59.1,81.1,30.81
2016,Méier,67.05,79.37,67.59,91.26,87.36,71.28,55.56,51.58,64.58,55.12,50.97,66.22,67.21,73.98,75.85,47.82
2016,Iraja,61.94,78.16,68.35,97.73,88.04,58.54,44.77,60.43,54.65,37.21,26.79,62.87,67.9,68.77,76.68,38.14
2016,Madureira,54.12,69.17,66.97,89.36,82.32,38.03,48.81,51.43,45.83,48.43,49.54,44.37,59.04,56.36,37.01,25.08
2016,Jacarepaguá,60.74,73.4,70.92,68.78,73.4,80.48,55.69,47.51,54.36,73.15,47.74,53.12,52.66,56.71,69.05,34.08
2016,Bangu,54.47,74.7,72.2,89.96,74.8,61.85,38.85,44.22,33.54,32.28,45.34,49.86,71.37,45.5,68.1,14.45
2016,Campo Grande,58.64,75.89,67.08,78.76,76.5,81.2,51.04,54.86,40.1,61.26,47.94,49,59.56,52.99,64.2,19.26
2016,Santa Cruz,47.84,64.79,64.72,71.21,65.82,57.42,40.21,46.19,18.98,59.28,36.41,38.52,67.77,34.23,45.77,6.31
2016,Ilha Do Governador,65.01,85.65,84.09,89.27,84.51,84.75,51.77,55.65,57.87,73.88,19.69,57.61,52.05,54.32,80.38,43.68
2016,Anchieta,57.09,71.28,71.92,86.42,77,49.78,47.22,55.83,36.94,48.87,47.24,52.78,71.25,61.62,61.26,17.01
2016,Santa Teresa,60.52,68.91,62.18,84.64,78.42,50.39,63.92,63.57,59.89,66.55,65.66,48.72,39.73,43.48,77.44,34.25
2016,Barra Da Tijuca,71.03,75.16,79.81,50.75,85.31,84.77,72.19,58.25,78.51,89.26,62.75,65.75,39.93,75.3,80.03,67.74
2016,Pavuna,41.1,58.44,58.83,87.31,60.31,27.3,28.77,32.01,26.54,56.54,0,36.08,58.19,35.4,39.76,10.97
2016,Guaratiba,45.27,53.7,68.28,17.54,58.74,70.22,44.73,53.93,22.15,57.35,45.48,37.39,65.18,45.39,33.34,5.68
2016,Rocinha,44.78,57.07,30.76,78.11,38.83,80.6,46.71,29.07,24.13,68.85,47.14,30.55,43.39,35.2,41.81,1.81
2016,Jacarezinho,43.82,56.45,46.46,85.73,21.89,71.72,31.32,7.99,0,85.97,40.98,43.68,84.27,30.02,58.1,2.34
2016,Complexo Do Alemão,40.51,61.82,57.01,92.98,18.42,78.88,29.28,0,12.85,74.98,47.26,30.44,45.84,7.36,68.02,0.52
2016,Maré,50.53,72.96,70.14,82.18,68.87,70.67,44.11,24.35,15.34,88.47,48.27,34.5,53.8,29.91,52.05,2.26
2016,Vigário Geral,53.31,75.11,68.7,88.64,71.41,71.66,41.91,38.6,36.45,47.37,45.23,42.91,67.9,26.64,64.16,12.94
2016,Realengo,54.41,72.51,63.65,87.4,80.64,58.34,47.4,55.35,42.68,52.15,39.39,43.32,63.04,37.98,51.28,20.97
2016,Cidade De Deus,45.44,66.42,32.51,93.43,65.34,74.41,35.84,36.1,23.5,42.77,40.98,34.06,54.57,23.24,53.91,4.5
2018,Rio De Janeiro,60.85,73.49,70.61,83.68,79.23,60.44,50.45,49.61,50.89,54.54,46.74,58.6,68.06,59.85,74.14,32.36
2018,Portuaria,43.6,60.54,84.62,80.8,70.73,6.01,36.75,48.56,20.73,28.42,49.3,33.5,31.19,51.44,45.95,5.43
2018,Centro,58.15,59.49,59.16,74.18,91.81,12.8,55.64,62.1,56,39.83,64.63,59.32,48.61,85.53,54.88,48.26
2018,Rio Comprido,55.4,67.85,70.78,84.36,70.41,45.86,49.28,60.26,42.08,39,55.79,49.07,54.93,53.62,65.26,22.48
2018,Botafogo,87.09,91.19,91.53,98.49,99.56,75.17,81.06,75.65,86.52,84.96,77.1,89.03,73.15,87.04,96.54,99.39
2018,Copacabana,81.13,89.7,79.77,99.32,97.27,82.45,73.13,63.26,81.95,79.28,68.02,80.55,69.93,75.72,93.01,83.53
2018,Lagoa,85.86,89.78,80.62,98.86,96.71,82.92,81.23,72.23,89.06,86.49,77.15,86.58,70.09,96.02,98.62,81.59
2018,São Cristovão,50.22,58.08,61.27,86.36,70.69,14,48.66,48.9,34.65,53.73,57.35,43.92,54.14,50.99,53.74,16.83
2018,Tijuca,76.81,80.45,78.11,84.62,95.91,63.16,65.85,53.84,80.32,76.57,52.65,84.12,79.37,85.41,92.87,78.82
2018,Vila Isabel,73.73,81.63,77.65,94.21,87.49,67.17,65.4,60.52,74.99,68.35,57.74,74.17,68.66,64.11,90.72,73.2
2018,Ramos,54.58,67.24,64.7,94.92,71.2,38.16,43.16,41.64,52.42,32.61,45.97,53.33,75.09,44.37,69.47,24.39
2018,Penha,58.57,75.64,63.14,97.56,85.79,56.06,44.12,44.65,43.9,34.31,53.62,55.95,72.68,51.17,76.76,23.19
2018,Inhaúma,60.03,75.06,66.55,92.05,83.33,58.31,43.58,40.43,45.07,45.13,43.68,61.46,78.01,61.6,75.43,30.81
2018,Méier,65.4,75.2,63.51,91.26,88.64,57.39,54.32,48.34,64.58,54.72,49.62,66.68,72.31,64.24,82.37,47.82
2018,Iraja,62.33,79.23,76.83,97.73,89.41,52.94,44.88,53.92,54.65,41.26,29.68,62.87,69.21,69.55,74.58,38.14
2018,Madureira,56.92,67.33,61.44,89.36,83.02,35.5,47.31,44.37,45.83,50.81,48.24,56.13,70.83,57.45,71.15,25.08
2018,Jacarepaguá,63.92,75.26,75.79,68.78,73.8,82.68,55.34,57.43,54.36,62.82,46.74,61.15,70.82,60.88,78.84,34.08
2018,Bangu,54.34,72.76,69.81,89.96,74.51,56.78,37.86,43.94,33.54,32.27,41.67,52.39,76.87,51.03,67.19,14.45
2018,Campo Grande,60.82,76.21,73.75,78.76,76.74,75.57,49.31,54.47,40.1,59.14,43.53,56.94,71.83,58.5,78.15,19.26
2018,Santa Cruz,49.57,67.78,66.11,71.21,65.72,68.06,33.91,38.72,18.98,46.77,31.17,47.02,80.06,37.84,63.88,6.31
2018,Ilha Do Governador,64.86,80.72,79.53,89.27,86.42,67.66,50.82,58.59,57.87,69.92,16.9,63.05,66.74,58.16,83.61,43.68
2018,Anchieta,54.4,63.48,62.17,86.42,76.97,28.34,45.27,43.41,36.94,55.77,44.96,54.46,75.08,64.3,61.44,17.01
2018,Santa Teresa,61.61,74.89,72.2,84.64,81.58,61.13,64.04,65.3,59.89,57.92,73.04,45.91,34.41,64,50.99,34.25
2018,Barra Da Tijuca,70.71,72.92,82.12,50.75,85.32,73.48,70.79,61.96,78.51,82.52,60.16,68.43,38.66,77.38,89.95,67.74
2018,Pavuna,41.58,58.84,51.6,87.31,61.88,34.58,28.79,33.96,26.54,45.51,9.15,37.12,48.38,47.58,41.52,10.97
2018,Guaratiba,48.13,56.67,72.53,17.54,59.31,77.29,40.34,47.3,22.15,50.98,40.94,47.38,81.59,46.9,55.34,5.68
2018,Rocinha,51.16,68.85,81.98,78.11,39.03,76.27,50.07,54.89,24.13,79.17,42.1,34.57,40.96,42.28,53.23,1.81
2018,Jacarezinho,43.56,56.38,62.92,85.73,21.95,54.92,31.39,15.97,0,65.98,43.6,42.92,76.45,32.67,60.2,2.34
2018,Complexo Do Alemão,47.14,66.34,81.24,92.98,18.44,72.72,40.13,35.76,12.85,67.79,44.14,34.94,61.22,28.63,49.4,0.52
2018,Maré,50.24,64.55,67.5,82.18,68.78,39.74,45.29,32.83,15.34,87.02,45.95,40.88,61.47,46.55,53.25,2.26
2018,Vigário Geral,53.24,68.99,56.44,88.64,71.35,59.54,43.71,36.84,36.45,52.26,49.3,47.03,68.8,40.84,65.54,12.94
2018,Realengo,59.04,74.54,73.58,87.4,81.32,55.85,45.49,59.55,42.68,45.27,34.47,57.1,75.72,62.25,69.47,20.97
2018,Cidade De Deus,46.12,68.65,36.02,93.43,65.11,80.03,29.88,21.66,23.5,28.37,45.97,39.85,70.06,21.23,63.6,4.5
2020,Rio De Janeiro,60.79,74.13,66.12,83.68,79.57,67.14,51.63,66.19,50.89,53.08,36.37,56.62,54.33,62.72,77.05,32.36
2020,Portuaria,42.06,59.67,64.32,80.8,71.06,22.49,36,59.51,20.73,19.2,44.55,30.52,25.66,50.76,40.23,5.43
2020,Centro,55.59,59.23,56.64,74.18,91.6,14.52,50.26,61.97,56,37.26,45.82,57.26,41.68,87.28,51.84,48.26
2020,Rio Comprido,55.5,68.27,72.61,84.36,73.29,42.82,50.81,68.72,42.08,39.33,53.1,47.42,37.76,60.82,68.64,22.48
2020,Botafogo,85.03,91.66,89.92,98.49,99.07,79.18,77.09,80.7,86.52,78.58,62.56,86.32,56.63,89.8,99.48,99.39
2020,Copacabana,80.23,92.03,92.01,99.32,96.84,79.97,68.93,77.01,81.95,72.4,44.36,79.73,56.72,80.14,98.53,83.53
2020,Lagoa,79.02,85.05,67.4,98.86,96.28,77.66,70.24,69.58,89.06,75.07,47.23,81.76,50.12,96.77,98.57,81.59
2020,São Cristovão,51.86,69.14,65.35,86.36,74.47,50.36,40.8,66.57,34.65,31.01,30.98,45.63,50.37,52.92,62.4,16.83
2020,Tijuca,71.61,85.47,85.23,84.62,95.54,76.49,51.37,58.84,80.32,18.84,47.48,78,51.76,85.53,95.88,78.82
2020,Vila Isabel,73.05,82.68,68.21,94.21,87.11,81.17,64.52,62.5,74.99,65.02,55.58,71.95,57.34,65.11,92.14,73.2
2020,Ramos,57.04,72.69,64.9,94.92,70.96,59.99,45.63,51.91,52.42,40.99,37.2,52.79,57.34,52.68,76.76,24.39
2020,Penha,56.96,74.39,43.14,97.56,85.59,71.27,45.01,56.4,43.9,49.68,30.08,51.49,51.27,51.93,79.57,23.19
2020,Inhaúma,56.92,74.43,64.39,92.05,83.13,58.16,38.92,42.06,45.07,38.13,30.4,57.41,59,63.36,76.47,30.81
2020,Méier,64.61,77.15,64.71,91.26,88.36,64.28,55.32,58.57,64.58,51.5,46.61,61.37,47.76,65.29,84.63,47.82
2020,Iraja,64.57,79.8,66.97,97.73,90.95,63.56,50.33,62.03,54.65,53.61,31.04,63.58,57,75.16,84.04,38.14
2020,Madureira,55.61,68.86,53.76,89.36,82.89,49.43,45.89,46.84,45.83,47.33,43.56,52.08,50.03,58.83,74.38,25.08
2020,Jacarepaguá,61.94,74.38,73.37,68.78,73.59,81.76,52.36,59.65,54.36,55.89,39.56,59.07,57.85,64.54,79.79,34.08
2020,Bangu,51.84,70.87,66.52,89.96,74.32,52.69,37.74,54.89,33.54,29.48,33.04,46.9,51.39,51.57,70.19,14.45
2020,Campo Grande,58.68,77.91,70.78,78.76,76.78,85.31,42.89,61.34,40.1,37.71,32.4,55.24,61.65,60.83,79.22,19.26
2020,Santa Cruz,50.82,71.47,57.91,71.21,65.96,90.79,31.87,54.53,18.98,38.62,15.34,49.11,77.58,41.51,71.03,6.31
2020,Ilha Do Governador,62.97,78.37,67.06,89.27,87.8,69.35,50.89,64.99,57.87,60.86,19.82,59.64,49.11,62.51,83.26,43.68
2020,Anchieta,55.72,72.83,74.81,86.42,76.82,53.29,42.92,45.22,36.94,51.63,37.9,51.39,56.59,63.67,68.3,17.01
2020,Santa Teresa,63.26,77.57,81.49,84.64,81.14,63.03,64.04,82.54,59.89,63.44,50.28,48.16,18.8,69.64,69.94,34.25
2020,Barra Da Tijuca,69.7,70.61,78.49,50.75,84.87,68.34,67.87,73.69,78.51,73.12,46.15,70.62,52.94,78.85,82.94,67.74
2020,Pavuna,42.97,60.94,51.21,87.31,64.53,40.71,27.58,33.39,26.54,49.49,0.89,40.38,45.28,49.89,55.39,10.97
2020,Guaratiba,43.54,54.92,64.71,17.54,59.45,77.99,31.07,53.26,22.15,14.52,34.36,44.61,77.06,50.47,45.24,5.68
2020,Rocinha,52.27,68.69,68.66,78.11,37.8,90.18,43.53,50.63,24.13,61.61,37.74,44.6,60.89,51.67,64.04,1.81
2020,Jacarezinho,45.15,54.61,37.52,85.73,21.52,73.69,37.11,41.14,0,73.51,33.8,43.72,58.33,42.94,71.29,2.34
2020,Complexo Do Alemão,43.68,57.18,51.47,92.98,39.64,44.62,36.94,31,12.85,64.32,39.59,36.93,44.41,39.29,63.52,0.52
2020,Maré,47.2,66.22,54.12,82.18,69.04,59.56,34.85,33.74,15.34,75.46,14.86,40.52,46.13,52.13,61.57,2.26
2020,Vigário Geral,54.93,72.03,54.17,88.64,71.39,73.91,45.77,46.77,36.45,55.32,44.55,46.99,56.26,48.21,70.56,12.94
2020,Realengo,55.76,72.07,64.96,87.4,81.21,54.72,43.49,65.58,42.68,39.23,26.47,51.7,50.41,66.58,68.86,20.97
2020,Cidade De Deus,47.84,73.68,55.73,93.43,65.41,80.15,31.47,40.38,23.5,26.84,35.17,38.37,55.32,25.47,68.2,4.5
